,price,Condition ,Date ,Views ,City,Motorbike Type ,Make Year,Make,Model,Engine size (cc),Lot No.,Kilometers
2034,"Rs. 3,00,000",Used,4/4/2016,95,Bharatpur,Sportsbike,2015,Yamaha,R15,150,35,2500
2035,"Rs. 1,40,000",Used,31/3/2016,95,Kathmandu,Sportsbike,2012,Yamaha,FZ-S,153,52,20000
2036,"Rs. 2,90,000",Used,31/3/2016,67,Lalitpur,Sportsbike,2013,Yamaha,R15,150,53,5625
2037,"Rs. 2,70,000",Used,22/3/2016,517,Bhaktapur,Sportsbike,2014,Yamaha,R15,150,61,18000
2038,"Rs. 1,80,000",Used,21/3/2016,538,Birgunj,Sportsbike,2012,Yamaha,R15,150,20,29000
2039,"Rs. 3,00,000",Used,21/3/2016,1574,Kathmandu,Sportsbike,2015,Yamaha,R15S,150,71,3000
2040,"Rs. 2,10,000",Used,21/3/2016,156,Biratnagar,Sportsbike,2011,Yamaha,R15,150,11,12600
2041,"Rs. 75,000",Used,29/6/2016,1480,Biratnagar,Standard,2008,Yamaha,SS 125,125,5,39000
2042,"Rs. 1,50,000",Used,16/3/2016,432,Kathmandu,Sportsbike,2011,Yamaha,R15,22,45,20000
2043,"Rs. 2,35,000",Used,13/3/2016,3359,Kathmandu,Sportsbike,2014,Yamaha,R15,150,59,15000
2044,"Rs. 89,900",Used,11/3/2016,451,Kathmandu,Sportsbike,2009,Yamaha,FZ-16,153,37,7000
2045,"Rs. 12,00,000",Used,8/3/2016,1376,Kathmandu,Sportsbike,2013,Yamaha,R1,1000,2569,5500
2046,"Rs. 1,90,000",Used,8/3/2016,1071,Kathmandu,Sportsbike,2015,Yamaha,FZ-S,149,67,7000
2047,"Rs. 2,90,000",Used,15/3/2016,762,Birgunj,Sportsbike,2014,Yamaha,R15,150,35,5200
2048,"Rs. 2,30,000",Used,3/3/2016,322,Bharatpur,Sportsbike,2013,Yamaha,R15,150,16,27000
2049,"Rs. 2,80,000",Used,2/3/2016,3822,Kathmandu,Sportsbike,2014,Yamaha,R15,150,66,10000
2050,"Rs. 1,30,000",Used,14/2/2016,3023,Lalitpur,Sportsbike,2010,Yamaha,R15,150,35,40000
2051,"Rs. 3,10,000",Used,10/2/2016,757,Butwal,Sportsbike,2015,Yamaha,R15,150,22,4500
2052,"Rs. 1,10,000",Used,7/2/2016,541,Kathmandu,Sportsbike,2011,Yamaha,Fazer,180,3,22000
2053,"Rs. 2,95,000",Used,4/2/2016,1660,Kathmandu,Sportsbike,2015,Yamaha,R15,150,67,4500
2054,"Rs. 2,10,000",Used,4/2/2016,2151,Kathmandu,Sportsbike,2014,Yamaha,R15,150,68,17000
2055,"Rs. 2,80,000",Used,2/2/2016,917,,Sportsbike,2013,Yamaha,R15,150,15,23000
2056,"Rs. 2,90,000",Used,29/2/2016,1186,Kathmandu,Sportsbike,2014,Yamaha,R15,150,35,4500
2057,"Rs. 3,22,000",Used,29/1/2016,319,Bharatpur,Sportsbike,2015,Yamaha,R15,150,35,1800
2058,"Rs. 2,80,000",Used,25/1/2016,354,Kathmandu,Sportsbike,2013,Yamaha,R15,150,4,10000
2059,"Rs. 1,80,000",Used,25/1/2016,264,Pokhara,Sportsbike,2013,Yamaha,R15,150,67,6200
2060,"Rs. 1,20,000",Used,24/1/2016,775,Waling,Sportsbike,2009,Yamaha,R15,150,5,40000
2061,"Rs. 3,10,000",Used,23/1/2016,292,Kathmandu,Sportsbike,2015,Yamaha,R15,150,67,5200
2062,"Rs. 3,10,000",Used,23/1/2016,179,Kathmandu,Sportsbike,2015,Yamaha,R15,150,67,5200
2063,"Rs. 1,80,000",Used,20/1/2016,1359,Pokhara,Sportsbike,2013,Yamaha,R15,150,8,15000
2064,"Rs. 2,60,000",Used,18/1/2016,721,Waling,Sportsbike,2013,Yamaha,R15,150,15,23000
2065,"Rs. 2,35,000",Used,18/1/2016,2773,Kathmandu,Sportsbike,2012,Yamaha,R15,150,50,11700
2066,"Rs. 2,15,000",Used,18/1/2016,98,Kathmandu,Sportsbike,2014,Yamaha,R15,150,54,7500
2067,"Rs. 1,60,000",Used,16/1/2016,276,Kathmandu,Sportsbike,2011,Yamaha,R15,150,48,34000
2068,"Rs. 2,15,000",Used,31/1/2016,379,Kathmandu,Sportsbike,2013,Yamaha,R15,150,54,21000
2069,"Rs. 65,000",Used,12/1/2016,337,Pokhara,Other,2009,Yamaha,Other,125,5,40000
2070,"Rs. 1,20,000",Used,11/1/2016,115,Waling,Sportsbike,2012,Yamaha,FZ-S,150,7,16500
2071,"Rs. 1,25,000",Used,7/1/2016,356,Kathmandu,Scooter,2013,Yamaha,Ray,125,57,2300
2072,"Rs. 2,90,000",Used,29/12/2015,1244,Lalitpur,Sportsbike,2013,Yamaha,R15,150,59,10000
2073,"Rs. 1,25,000",Used,27/12/2015,110,Waling,Sportsbike,2012,Yamaha,FZ-S,153,7,14500
2074,"Rs. 2,25,000",Used,21/12/2015,254,Kathmandu,Sportsbike,2012,Yamaha,R15,150,55,24000
2075,"Rs. 2,90,000",Used,17/12/2015,316,Kathmandu,Sportsbike,2015,Yamaha,R15,150,66,12000
2076,"Rs. 1,45,000",Used,17/12/2015,458,Kathmandu,Sportsbike,2012,Yamaha,FZ-S,153,54,30
2077,"Rs. 2,15,000",Used,16/12/2015,663,Kathmandu,Sportsbike,2013,Yamaha,R15,150,57,32600
2078,"Rs. 2,35,000",Used,13/12/2015,376,Lalitpur,Sportsbike,2013,Yamaha,R15,150,58,18500
2079,"Rs. 80,000",Used,2/12/2015,149,Lalitpur,Sportsbike,2010,Yamaha,FZ,153,32,150000
2080,"Rs. 2,55,000",Used,25/11/2015,534,Lekhnath,Sportsbike,2014,Yamaha,R15,150,9,16500
2081,"Rs. 65,000",Used,17/11/2015,435,Kathmandu,Cruiser,2011,Yamaha,Enticer,150,45,18396
2082,"Rs. 12,00,000",Used,15/11/2015,3785,Kathmandu,Sportsbike,2002,Yamaha,R6,600,66,14900
2083,"Rs. 2,65,000",Used,8/11/2015,327,Kathmandu,Sportsbike,2014,Yamaha,R15,150,59,13000
2084,"Rs. 2,65,000",Used,8/11/2015,172,Kathmandu,Sportsbike,2014,Yamaha,R15,150,59,13000
2085,Contact Seller,Used,7/10/2015,154,Kathmandu,Sportsbike,2013,Yamaha,R15,150,50,46000
2086,"Rs. 1,10,000",Used,2/10/2015,163,Narayanghat,Standard,2012,Yamaha,SZ-R,153,20,29900
2087,"Rs. 1,60,000",Used,1/10/2015,105,Bharatpur,Sportsbike,2011,Yamaha,R15,150,19,32000
2088,"Rs. 90,000",Used,1/10/2015,775,Kawasoti,Standard,2011,Yamaha,SS 125,125,6,27000
2089,"Rs. 1,70,000",Used,29/9/2015,190,Dulegauda,Sportsbike,2012,Yamaha,R15,150,7,26500
2090,"Rs. 2,30,000",Used,28/9/2015,1401,Kathmandu,Sportsbike,2015,Yamaha,FZ-S,149,69,4000
2091,"Rs. 2,85,000",Used,24/9/2015,503,Kathmandu,Sportsbike,2014,Yamaha,R15,150,63,8500
2092,Rs. 2.00,Used,24/9/2015,504,Janakpur,Sportsbike,2013,Yamaha,R15,150,2013,24000
2093,"Rs. 2,25,000",Used,24/9/2015,2167,Kathmandu,Sportsbike,2013,Yamaha,R15,150,54,23000
2094,"Rs. 1,40,000",Used,23/9/2015,2404,Bhairahawa,Sportsbike,2013,Yamaha,FZ-S,153,17,17835
2095,"Rs. 1,20,000",Used,23/9/2015,489,Bhaktapur,Sportsbike,2012,Yamaha,FZ-S,153,46,23000
2096,"Rs. 42,000",Used,22/9/2015,532,Kathmandu,Other,2007,Yamaha,Other,125,21,35000
2097,Contact Seller,Used,19/9/2015,173,Bhairahawa,Sportsbike,2015,Yamaha,R15,150,2015,12000
2098,"Rs. 3,40,000",Used,19/9/2015,139,Kathmandu,Sportsbike,2015,Yamaha,R15,150,70,121
2099,"Rs. 3,37,900",New,3/1/2016,18930,Kathmandu,Sportsbike,2015,Yamaha,R15S,150,,
2100,"Rs. 9,00,000",New,16/9/2015,38646,Kathmandu,Sportsbike,2015,Yamaha,R3,321,,
2101,"Rs. 1,74,900",New,13/9/2015,2249,Kathmandu,Standard,2015,Yamaha,Saluto,125,,
2102,"Rs. 1,79,900",New,3/1/2016,14899,Kathmandu,Standard,2015,Yamaha,Saluto,125,,
2103,"Rs. 1,86,900",New,3/1/2016,40478,Kathmandu,Scooter,2015,Yamaha,Fascino,113,,
2104,"Rs. 2,70,000",Used,6/9/2015,640,Lalitpur,Sportsbike,2014,Yamaha,R15,150,62,9500
2105,"Rs. 2,45,000",Used,2/9/2015,155,Lalitpur,Sportsbike,2014,Yamaha,R15,150,61,17000
2106,"Rs. 2,00,000",Used,1/9/2015,1045,Kathmandu,Sportsbike,2012,Yamaha,R15,150,49,23000
2107,"Rs. 2,65,000",Used,1/9/2015,54,Lalitpur,Sportsbike,2014,Yamaha,R15,150,61,17000
2108,"Rs. 2,90,000",Used,30/8/2015,275,Kathmandu,Sportsbike,2014,Yamaha,R15,150,61,14000
2109,"Rs. 1,60,000",Used,2/9/2015,542,Kathmandu,Sportsbike,2013,Yamaha,FZ-S,152,56,8500
2110,"Rs. 75,000",Used,26/8/2015,172,Kathmandu,Sportsbike,2009,Yamaha,FZ-16,153,32,35000
2111,"Rs. 2,50,000",Used,20/8/2015,127,Kathmandu,Sportsbike,2014,Yamaha,R15,150,56,18000
2112,"Rs. 2,75,000",Used,10/8/2015,857,Kathmandu,Sportsbike,2014,Yamaha,R15,150,63,7000
2113,"Rs. 2,65,000",Used,6/8/2015,601,Bhaktapur,Sportsbike,2014,Yamaha,R15,150,60,14000
